2018 SOC Code,Occupation,Probability,TOT_EMP,percentile_rank
39-9011,Childcare workers,0.084,520180,19.54614892951528
39-9031,Fitness trainers and aerobics instructors,0.085,303620,19.768137804189173
11-9071,Gaming managers,0.091,4620,19.77151567323928
49-9051,Electrical power-line installers and repairers,0.097,123680,19.8619431286759
33-3051,Police and sheriff’s patrol officers,0.098,666990,20.34960652212409
41-3041,Travel agents,0.099,59150,20.392853481932274
35-1011,Chefs and head cooks,0.1,182320,20.526155015528694
39-2011,Animal trainers,0.1,20110,20.540858250722987
27-3011,Radio and television announcers,0.1,23880,20.55831788555341
17-2071,Electrical engineers,0.1,188790,20.696349898100948
19-2031,Chemists,0.1,83250,20.7572173436467
29-2099,Respiratory therapy technicians,0.1,174060,20.884479656820204
19-2012,Physicists,0.1,21340,20.900082194813553
39-5012,"Hairdressers, hairstylists, and cosmetologists",0.11,295460,21.11610496311323
27-3023,Reporters and correspondents,0.11,41550,21.14648385034958
53-2021,Air traffic controllers,0.11,22400,21.16286139725919
27-2031,Dancers,0.13,9060,21.169485530071736
29-2033,Nuclear medicine technologists,0.13,16960,21.181885672731866
15-1252,"Software developers, systems software",0.13,1654440,22.39151374010383
15-1253,"Software developers, systems software",0.13,199800,22.53759560941364
13-1111,Management analysts,0.13,893900,23.191162090775187
29-2051,Dietetic technicians,0.13,29950,23.213059748361918
19-3051,Urban and regional planners,0.13,43040,23.24452803492395
21-1093,Social and human service assistants,0.13,424220,23.554692452334393
25-3021,Self-enrichment education teachers,0.13,308520,23.780263915394762
27-4014,Sound engineering technicians,0.13,13050,23.789805298750583
29-1041,Optometrists,0.14,41890,23.820432773752525
17-2151,"Mining and geological engineers, including mining safety engineers",0.14,6770,23.82538259484976
29-1071,Physician assistants,0.14,155540,23.93910418620335
25-2012,"Kindergarten teachers, except special education",0.15,114410,24.022753969325148
47-2111,Electricians,0.15,742580,24.565684272188395
17-2171,Petroleum engineers,0.16,18970,24.57955400722747
43-9031,Desktop publishers,0.16,4000,24.582478569175613
11-1021,General and operations managers,0.16,3584420,27.203193153717464
19-5011,Occupational health and safety specialists,0.17,128430,27.297093526467503
33-2011,Firefighters,0.17,332240,27.540007641880372
13-2061,Financial examiners,0.17,62830,27.585945198680843
47-1011,First-line supervisors of construction trades and extraction workers,0.17,806080,28.175302922470884
25-2022,"Middle school teachers, except special and career/technical education",0.17,620370,28.628880546413455
27-3031,Public relations specialists,0.18,280590,28.83403125567091
49-9092,Commercial divers,0.18,3430,28.836539067541445
49-9095,Manufactured building and mobile home installers,0.18,2610,28.838447344212607
53-2011,"Airline pilots, copilots, and flight engineers",0.18,99300,28.91104959457529
25-3011,Adult basic and secondary education and literacy teachers and instructors,0.19,36260,28.937560748635217
19-1041,Epidemiologists,0.2,11460,28.945939618616652
,"Funeral service managers, directors, morticians, and undertakers",0.2,0,28.945939618616652
,"Information security analysts, web developers, and computer network architects",0.21,0,28.945939618616652
15-2011,Actuaries,0.21,28340,28.96666014001925
