occ2018,total_lf,native,foreign
0700,202811.02730000002,176555.3471,26255.6802
2001,201875.5525,170072.0994,31803.4531
0725,201440.98870000002,188637.3849,12803.6038
1105,196209.9381,148304.9871,47904.951
2350,194926.8836,179055.2842,15871.5994
1065,193117.78879999998,150872.3216,42245.4672
3630,191986.0877,131920.666,60065.4217
3910,189958.1527,151638.7427,38319.409999999996
2435,189765.1242,185419.6575,4345.4667
0300,188167.0414,132240.2614,55926.78
4820,185527.88270000002,168689.8769,16838.0058
0600,183747.3682,161312.4385,22434.9297
5140,182574.71550000002,170190.9641,12383.7514
9030,180764.78369999997,161530.73619999998,19234.0475
7140,179913.0429,153832.4969,26080.546000000002
2752,170054.247,149093.8871,20960.3599
5522,169898.7182,146544.1868,23354.5314
5310,165717.2844,158373.054,7344.2304
9720,162671.7388,112963.5163,49708.2225
2555,162438.9589,143512.1165,18926.8424
9050,160768.4202,148658.95309999998,12109.4671
3110,159190.6568,125890.60339999999,33300.0534
4655,158044.0252,128570.1786,29473.8466
8810,157815.8259,120097.7834,37718.0425
3322,157312.1153,154611.7904,2700.3249
1320,156378.9647,136738.7077,19640.256999999998
9150,156008.5796,134112.6125,21895.9671
8300,154962.3118,84940.0483,70022.2635
2012,153001.5173,136608.2379,16393.2794
2016,151638.2389,130114.7353,21523.5036
8620,150990.1286,144854.0722,6136.0564
4800,149879.9996,130400.2112,19479.7884
3550,149117.1483,142482.987,6634.1613
3030,147992.9265,127217.8466,20775.0799
1825,147540.6021,125301.4938,22239.1083
5300,147024.92200000002,134621.7563,12403.1657
1220,145235.7661,134749.46050000002,10486.3056
6520,143033.1468,130304.8197,12728.327099999999
3401,142747.4631,142747.4631,0.0
0860,141905.5721,131669.7101,10235.862000000001
4750,141451.46169999999,115877.8198,25573.6419
4622,141424.6473,132616.9426,8807.7047
0960,141277.9745,91881.434,49396.5405
8255,140694.18,125397.9545,15296.2255
5260,139338.2648,116201.2573,23137.0075
0940,139240.2765,111583.6611,27656.6154
3422,138540.0974,114267.317,24272.7804
3545,136314.4192,124839.7763,11474.642899999999
1720,136259.9839,101094.5454,35165.438500000004
3150,136167.9238,130647.3115,5520.6123
2635,135498.95870000002,121983.4927,13515.466
0060,133912.7612,133356.3059,556.4553
6220,133367.5361,83112.0856,50255.4505
4500,133202.0899,109615.0989,23586.990999999998
6330,132869.9246,57570.1033,75299.8213
3620,132218.79200000002,122941.0898,9277.7022
2025,129848.5426,101045.1964,28803.3462
8320,129202.99399999999,73058.88339999999,56144.1106
7720,128973.1051,89794.9534,39178.1517
3820,128903.10740000001,109322.6379,19580.4695
7420,128894.75219999999,116692.1635,12202.5887
6660,128813.31219999999,111873.15,16940.1622
7260,127550.11980000001,105371.8589,22178.2609
3515,127502.2862,127502.2862,0.0
7150,127089.9733,68379.3176,58710.6557
7010,126899.0287,109317.745,17581.2837
7020,126527.0306,94625.6385,31901.3921
7410,124664.52329999999,119107.21119999999,5557.3121
5165,124379.5435,106587.3084,17792.235099999998
8610,123283.2937,108325.1452,14958.1485
3402,122002.1414,93210.6654,28791.476
4400,120641.6465,97330.5851,23311.0614
1350,119636.18729999999,82240.4288,37395.758499999996
2920,119196.9951,110367.5155,8829.4796
0102,118738.4303,103899.81300000001,14838.6173
4522,117276.7286,93479.6353,23797.0933
3220,116442.4216,75091.4054,41351.0162
7840,116192.99489999999,85603.2904,30589.7045
3649,115710.01950000001,71510.3938,44199.625700000004
2825,114638.367,110312.9835,4325.3835
0101,114396.0907,99447.3241,14948.766599999999
0340,109961.2221,97588.4026,12372.8195
5410,109783.93400000001,94239.7032,15544.230800000001
3423,108024.3641,90754.5686,17269.7955
2400,105468.318,105468.318,0.0
9141,105456.89289999999,72835.0232,32621.8697
4240,104922.1812,91930.1768,12992.0044
7855,104750.6696,79864.2105,24886.4591
3424,104664.3559,104385.4243,278.9316
4252,104389.311,74380.6645,30008.646500000003
2905,101683.7061,101683.7061,0.0
1650,100440.1618,38900.2213,61539.9405
9365,100090.70430000001,87912.2302,12178.4741
2830,99545.2938,93207.6844,6337.6094
5630,99086.3014,73847.8974,25238.404
2861,98071.3432,48135.9638,49935.3794
5100,96917.3239,85701.2991,11216.0248
3710,96900.173,92239.8398,4660.3332
2170,96312.9023,88514.1562,7798.7461
2810,96290.3187,95369.587,920.7317
5521,94040.5584,88448.2298,5592.3286
0820,94008.4162,65691.6851,28316.731099999997
1106,93831.4503,87093.5508,6737.8995
3945,92586.0454,83323.3659,9262.6795
5250,89656.4941,81545.7316,8110.7625
1400,89282.67009999999,51591.147899999996,37691.5222
5330,88292.9413,68297.6438,19995.2975
5540,87170.5149,67746.8948,19423.6201
6730,86832.1301,71588.9098,15243.2203
7905,86545.30889999999,73974.0005,12571.3084
8760,85381.0426,71944.2424,13436.800200000001
8950,84858.96429999999,47294.034,37564.9303
5730,84663.7638,75024.0491,9639.7147
5360,84378.29980000001,77667.5929,6710.7069
2770,84105.2641,84105.2641,0.0
2050,84099.79920000001,84099.79920000001,0.0
2060,83528.1544,79204.4491,4323.7053
4830,82324.10269999999,77911.26849999999,4412.8342
3725,81600.5463,74766.0889,6834.457399999999
1450,80912.2475,47910.21,33002.0375
9510,80549.9833,74468.425,6081.5583
