state_fips,occ2018,nativity_flag,emp_status,population
2,3100,0,EMPLOYED,1715.6107
2,3110,0,EMPLOYED,617.3975
2,3160,0,EMPLOYED,1628.7435
2,3200,0,EMPLOYED,480.2127
2,3245,0,EMPLOYED,541.6658
2,3250,0,EMPLOYED,486.4852
2,3255,0,EMPLOYED,3459.5274
2,3255,0,UNEMPLOYED,612.3466
2,3255,1,EMPLOYED,2047.8716
2,3258,0,EMPLOYED,448.7789
2,3300,0,UNEMPLOYED,1095.9668
2,3323,0,EMPLOYED,762.951
2,3402,0,EMPLOYED,636.1308
2,3421,0,EMPLOYED,991.4095
2,3550,0,EMPLOYED,586.016
2,3601,0,EMPLOYED,992.6556
2,3602,0,EMPLOYED,3843.3567
2,3602,1,EMPLOYED,2166.7694
2,3603,0,EMPLOYED,4180.811
2,3603,1,EMPLOYED,1523.211
2,3630,0,EMPLOYED,705.944
2,3640,0,EMPLOYED,742.6192
2,3640,1,EMPLOYED,983.6804
2,3645,0,EMPLOYED,690.8159
2,3649,0,EMPLOYED,652.7549
2,3655,0,EMPLOYED,651.782
2,3710,0,EMPLOYED,623.0977
2,3720,0,EMPLOYED,611.6782
2,3725,1,EMPLOYED,535.8242
2,3740,0,EMPLOYED,1575.8823
2,3802,0,EMPLOYED,528.3559
2,3802,0,UNEMPLOYED,386.4834
2,3870,0,EMPLOYED,522.7905
2,3910,0,EMPLOYED,581.8245
2,3930,0,EMPLOYED,983.8506
2,3930,0,UNEMPLOYED,457.3702
2,3960,0,EMPLOYED,1392.8530999999998
2,4010,0,EMPLOYED,892.7151
2,4020,0,EMPLOYED,1793.5474
2,4020,1,EMPLOYED,1368.1666
2,4020,1,UNEMPLOYED,649.522
2,4030,0,EMPLOYED,1218.5824
2,4055,0,EMPLOYED,1836.3625
2,4110,0,EMPLOYED,1237.6549
2,4110,0,UNEMPLOYED,1091.7279
2,4110,1,EMPLOYED,477.8643
2,4140,1,EMPLOYED,645.9174
2,4150,0,EMPLOYED,2292.5974
2,4200,0,EMPLOYED,1987.3906000000002
2,4220,0,EMPLOYED,5502.3107
2,4220,1,EMPLOYED,959.4861
2,4230,0,EMPLOYED,603.1899
2,4230,1,EMPLOYED,1138.3679
2,4251,0,EMPLOYED,679.1098
2,4251,0,UNEMPLOYED,545.5069
2,4251,1,EMPLOYED,595.7221
2,4252,0,EMPLOYED,1474.1169
2,4350,0,EMPLOYED,988.8352
2,4420,0,EMPLOYED,668.9566
2,4465,0,EMPLOYED,965.4499999999999
2,4600,0,EMPLOYED,522.942
2,4600,1,EMPLOYED,1146.6859
2,4700,0,EMPLOYED,4618.871
2,4700,0,UNEMPLOYED,735.1108
2,4710,0,EMPLOYED,1093.6169
2,4720,0,EMPLOYED,4420.9864
2,4720,0,UNEMPLOYED,428.0249
2,4760,0,EMPLOYED,2466.5912
2,4810,0,EMPLOYED,435.4882
2,4820,0,EMPLOYED,668.5299
2,4840,0,EMPLOYED,1118.7244999999998
2,4840,1,EMPLOYED,459.9738
2,4850,0,EMPLOYED,1984.0145
2,4920,0,EMPLOYED,2978.9925
2,5110,0,EMPLOYED,1173.2712999999999
2,5110,0,UNEMPLOYED,399.9384
2,5110,1,EMPLOYED,611.9714
2,5120,0,EMPLOYED,3346.8523999999998
2,5140,0,EMPLOYED,978.3251
2,5220,0,EMPLOYED,682.8955
2,5240,0,EMPLOYED,5423.8168
2,5240,0,UNEMPLOYED,422.7899
2,5320,0,EMPLOYED,765.2298
2,5400,0,EMPLOYED,4321.1193
2,5500,0,EMPLOYED,582.4861
2,5510,0,EMPLOYED,1558.5605
2,5550,1,EMPLOYED,568.1215
2,5610,1,EMPLOYED,634.2623
2,5730,0,EMPLOYED,647.4723
2,5730,1,EMPLOYED,894.9076
2,5740,0,EMPLOYED,2776.413
2,5740,0,UNEMPLOYED,517.8165
2,5810,0,EMPLOYED,1271.7872
2,5840,0,EMPLOYED,684.303
2,5850,0,EMPLOYED,736.1561
2,5860,0,EMPLOYED,7344.8211
2,5940,0,EMPLOYED,3686.8516
2,6050,0,EMPLOYED,1429.7662
2,6115,0,EMPLOYED,2761.2916999999998
2,6200,0,EMPLOYED,503.4254
2,6230,0,EMPLOYED,2473.7489
2,6250,1,EMPLOYED,784.3252
2,6260,0,EMPLOYED,3907.9384
2,6260,1,EMPLOYED,646.891
2,6305,0,EMPLOYED,961.9419
2,6355,0,EMPLOYED,2930.0522
2,6400,0,EMPLOYED,569.5762
2,6441,0,EMPLOYED,646.5293
2,6442,0,EMPLOYED,1219.6221
2,6515,0,EMPLOYED,520.6348
2,6660,0,EMPLOYED,636.4902
2,6800,0,EMPLOYED,622.8166
2,7000,0,EMPLOYED,698.7733
2,7010,0,EMPLOYED,459.9738
2,7020,0,EMPLOYED,853.5878
2,7100,0,EMPLOYED,541.0955
2,7140,0,EMPLOYED,541.0955
2,7200,0,EMPLOYED,1547.2939999999999
2,7210,0,EMPLOYED,1847.731
2,7220,0,EMPLOYED,595.5564
2,7240,0,EMPLOYED,772.9536
2,7260,0,EMPLOYED,1442.2508
2,7330,0,EMPLOYED,599.9032
2,7340,0,EMPLOYED,670.9431
2,7340,1,EMPLOYED,813.3513
2,7360,0,EMPLOYED,539.9448
2,7420,0,EMPLOYED,863.0628
2,7540,0,EMPLOYED,527.4345
2,7700,0,EMPLOYED,805.1587
2,8030,0,EMPLOYED,342.8438
2,8140,0,EMPLOYED,1179.6041
2,8255,0,EMPLOYED,651.2295
2,8320,0,EMPLOYED,694.9711
2,8500,0,EMPLOYED,750.3768
2,8555,0,EMPLOYED,1201.4988
2,8620,0,EMPLOYED,1200.7361999999998
2,8740,0,EMPLOYED,1223.5520000000001
2,8750,0,EMPLOYED,531.3543
2,8760,0,EMPLOYED,608.5049
2,8810,0,EMPLOYED,1078.6506
2,8990,0,EMPLOYED,1199.6807
2,9005,0,EMPLOYED,1385.8035
2,9030,0,EMPLOYED,793.7343
2,9040,0,EMPLOYED,1385.4204
2,9121,1,EMPLOYED,832.8062
2,9122,0,EMPLOYED,652.9004
2,9130,0,EMPLOYED,5666.8234
2,9130,0,UNEMPLOYED,863.5562
2,9142,0,EMPLOYED,1328.5357
2,9142,1,EMPLOYED,709.6226
2,9300,0,EMPLOYED,617.1703
2,9310,0,EMPLOYED,1424.4302
2,9365,0,EMPLOYED,665.916
2,9410,0,EMPLOYED,1281.3894
2,9610,0,EMPLOYED,1416.2863
2,9610,0,UNEMPLOYED,628.2389
2,9610,1,EMPLOYED,506.0443
2,9620,0,EMPLOYED,9489.2868
2,9620,0,UNEMPLOYED,894.5575
2,9620,1,EMPLOYED,929.6996
2,9645,0,EMPLOYED,2803.1964
2,9645,1,EMPLOYED,1378.4292
4,-001,0,UNEMPLOYED,45517.326799999995
4,-001,1,UNEMPLOYED,5604.2341
4,0010,0,EMPLOYED,29992.7566
4,0020,0,EMPLOYED,18370.1714
4,0020,1,EMPLOYED,5893.9661
4,0051,0,EMPLOYED,10791.5111
4,0052,0,EMPLOYED,18077.7052
4,0060,0,EMPLOYED,12440.9288
4,0102,0,EMPLOYED,5462.3326
4,0110,0,EMPLOYED,11779.406200000001
4,0110,1,EMPLOYED,13638.6966
4,0120,0,EMPLOYED,26926.9138
4,0120,1,EMPLOYED,6968.7635
4,0136,0,EMPLOYED,4763.6909
4,0140,0,EMPLOYED,5351.038
4,0150,0,EMPLOYED,5032.8956
4,0160,0,EMPLOYED,5743.4717
4,0160,1,EMPLOYED,5936.4715
4,0220,0,EMPLOYED,30119.407
4,0220,1,EMPLOYED,7447.7504
4,0230,0,EMPLOYED,31102.0541
4,0300,0,EMPLOYED,5736.1511
4,0300,1,EMPLOYED,4904.9523
4,0310,0,EMPLOYED,29285.5637
4,0310,0,UNEMPLOYED,6134.2081
4,0350,0,EMPLOYED,35617.669
4,0350,0,UNEMPLOYED,6257.7896
4,0410,0,EMPLOYED,15169.987
4,0420,0,EMPLOYED,9808.5695
4,0440,0,EMPLOYED,100551.94529999999
