state_fips,person_type,age,weight_cmp,weight_or,occ2018,citizenship,nativity_country,year_of_entry,mlr_status,in_civ_lf,emp_recode,foreign_born,non_cit_foreign,nativity_flag,emp_status
1,2.0,37.0,36891239.0,147796706.0,5510,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,52.0,38443078.0,160179158.0,2310,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,40.0,23697149.0,0.0,2310,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,49.0,22294862.0,0.0,1010,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,31.0,26386451.0,0.0,2180,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,67.0,18382191.0,0.0,4850,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,59.0,19483410.0,0.0,4700,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,55.0,19483410.0,0.0,4700,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,46.0,23296807.0,0.0,0120,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,48.0,19442023.0,0.0,1105,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,62.0,22855339.0,0.0,3090,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,63.0,20604990.0,0.0,3255,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
1,2.0,27.0,50179331.0,218262828.0,8740,1.0,57.0,0.0,1.0,1.0,1.0,0,0,0,EMPLOYED
9,2.0,50.0,42831071.0,0.0,6260,5.0,365.0,18.0,1.0,1.0,1.0,1,1,1,EMPLOYED
9,2.0,58.0,31754878.0,0.0,4230,4.0,313.0,14.0,1.0,1.0,1.0,1,0,1,EMPLOYED
